Sample,simpson,shannon,Diversity,Obs_Species,Ice,Month,Date
Nov2,0.96170782,6.300747264,14.83959,507,Ice_Free,November,2015-11-02
Nov3,0.955881894,5.995777104,15.164726,485.2,Ice_Free,November,2015-11-03
Nov6,0.970642963,6.573517281,14.995462,540.4,Ice_Free,November,2015-11-06
Nov9,0.956812268,6.074054226,10.651212,527,Ice_Free,November,2015-11-09
Nov10,0.95623206,6.063278723,11.628264,522.6,Ice_Free,November,2015-11-10
Nov11,0.963911163,6.211593111,12.300406,532.6,Ice_Free,November,2015-11-11
Nov12,0.952320047,6.020242005,14.256643,530.8,Ice_Free,November,2015-11-12
Nov13,0.949593486,5.920287649,11.276005,509.3,Ice_Free,November,2015-11-13
Nov16,0.950969005,6.000240051,13.920788,525.8,Ice_Free,November,2015-11-16
Nov17,0.950758384,6.194251629,14.917526,559.2,Ice_Free,November,2015-11-17
Nov18,0.965226662,6.472748858,14.961861,567,Ice_Free,November,2015-11-18
Nov19,0.973256623,6.563325281,14.83959,562.9,Ice_Free,November,2015-11-19
Nov20,0.969119659,6.586060657,15.082458,587.5,Ice_Free,November,2015-11-20
Nov23,0.97239378,6.522106723,14.390032,573.1,Ice_Free,November,2015-11-23
Nov25,0.966675509,6.403135259,15.262162,576.9,Ice_Free,November,2015-11-25
Nov24,0.973727561,6.638450649,14.257732,613.5,Ice_Free,November,2015-11-24
Nov26,0.964829483,6.360379738,14.259406,583.6,Ice_Free,November,2015-11-26
Nov27,0.96288674,6.369181115,14.59635,588.7,Ice_Free,November,2015-11-27
Dec1,0.959263717,6.294105669,15.2708,594,Ice_Free,December,2015-12-01
Dec2,0.953637603,6.162729396,14.616207,577.4,Ice_Free,December,2015-12-02
Dec3,0.952525064,6.086280065,15.943627,556.2,Ice_Free,December,2015-12-03
Dec4,0.956482139,6.125194713,14.259406,558.6,Ice_Free,December,2015-12-04
Dec7,0.956012677,6.118873411,17.462115,549.6,Ice_Free,December,2015-12-07
Dec8,0.951618947,5.976120099,14.261425,538.9,Ice_Free,December,2015-12-08
Dec9,0.930525375,5.723425547,14.212653,542.6,Ice_Free,December,2015-12-09
Dec10,0.945689347,5.898789884,14.392842,550.1,Ice_Free,December,2015-12-10
Dec11,0.944451419,5.918167381,14.858732,546.4,Ice_Free,December,2015-12-11
Dec14,0.973394691,6.601433913,18.636564,600.5,Ice_Free,December,2015-12-14
Dec15,0.972395353,6.556864681,15.358383,589.3,Ice_Free,December,2015-12-15
Dec16,0.973095181,6.560645867,16.339487,553.2,Ice_Free,December,2015-12-16
Dec17,0.974140293,6.607704549,19.036434,565.6,Ice_Free,December,2015-12-17
Dec18,0.969961269,6.498472374,18.353054,553.3,Ice_Free,December,2015-12-18
Dec21,0.966014629,6.407552822,14.83959,592.2,Ice_Free,December,2015-12-21
Dec22,0.964492765,6.367049907,16.500777,599.4,Ice_Free,December,2015-12-22
Dec23,0.960992339,6.332839378,19.319412,610.6,Ice_Free,December,2015-12-23
Jan4,0.968243117,6.45390629,18.781862,559.1,Ice,January,2016-01-04
Jan5,0.965730588,6.4369501,18.781862,582.3,Ice,January,2016-01-05
Jan6,0.970152012,6.490268738,15.634956,552.6,Ice,January,2016-01-06
Jan7,0.96985052,6.510576361,14.73584,567.5,Ice,January,2016-01-07
Jan8,0.970089954,6.455256319,14.73584,525,Ice,January,2016-01-08
Jan11,0.964431267,6.39555664,17.882746,568.4,Ice,January,2016-01-11
Jan12,0.963429033,6.349004863,14.73584,554.5,Ice,January,2016-01-12
