"","SampleID","sampletype","location","filtertype","region","datatype","boat","study","transit","position"
"1","BALT1","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"2","BALT10","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"3","BALT10post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"4","BALT11","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"5","BALT11post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"6","BALT12","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"7","BALT12post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"8","BALT13","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"9","BALT13post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"10","BALT14","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"11","BALT14post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"12","BALT15","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"13","BALT15post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"14","BALT16","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"15","BALT16post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"16","BALT17","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"17","BALT17post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"18","BALT19","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"19","BALT19post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"20","BALT1post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"21","BALT2","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"22","BALT20","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"23","BALT20post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"24","BALT21","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"25","BALT21post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"26","BALT22","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"27","BALT22post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"28","BALT23","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"29","BALT23post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"30","BALT24","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"31","BALT24post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"32","BALT25","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"33","BALT25post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"34","BALT27","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"35","BALT27post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"36","BALT28","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"37","BALT28point5","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"38","BALT28point5post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"39","BALT28post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"40","BALT29","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"41","BALT29post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"42","BALT2post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
"43","BALT3","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"44","BALT30","openwater","Baltimore","pre","East","openwater",NA,"DARPA",NA,NA
"45","BALT30post","openwater","Baltimore","post","East","openwater",NA,"DARPA",NA,NA
